user_name,Twitter Account Duration(till 26/1/2020),Avg. Tweet Rate(per Month),Avg. Retweet Rate(per Month),Avg. Reply Rate(per Month),Total Normal Tweets,Total Retweets,Total Replies,Total Quotes,Avg. Fav Count(per Month),Avg. Retweeted Count(per Month),Avg. Quote Count(per Month)
gailcollins,354863353.0,6.779,5.4,1.0,644,54,1,8,142.619,102.979,1.6
rahul_sen,329418763.0,4.697,1.718,4.349,357,67,274,7,1.115,5303.5,1.167
andrinhopereira,191048742.0,11.606,2.267,1.625,766,34,26,27,15134.522,4038.319,1.421
RobertIger,94870026.0,6.25,3.794,2.424,300,129,80,83,32795.688,24810.5,2.677
aneeshabaig,329118817.0,1.842,2.737,7.015,35,52,470,10,1.425,5725.312,1.667
deepikapadukone,317405308.0,11.0,0.0,0.0,11,0,0,2,145402.0,10831.0,2.0
shawndolley,324974656.0,9.57,11.265,1.69,890,1104,49,276,6.592,7992.456,5.633
PathRuzCaracuel,103457600.0,2.359,8.882,4.5,92,453,171,17,43.365,584.827,1.417
SopanDeb,334723141.0,110.0,14.0,175.0,330,42,525,146,33626.0,3410.333,48.667
BabyBearHS,102053052.0,40.957,5.429,95.348,942,114,2193,144,1958.087,1536.696,6.545
emelisande,341556182.0,11.229,2.842,3.1,393,54,31,49,2805.023,640.186,3.062
Director_SEZ,119533292.0,1.944,10.333,11.196,35,62,515,0,5.596,185.0,0.0
prasoonjoshi_,138534936.0,8.966,4.154,5.565,529,108,128,111,4136.627,1462.627,5.55
NarendraPatil63,182662020.0,9.325,6.803,6.071,746,483,255,217,12.012,5625.646,4.094
SirBobbyDeol,271424501.0,42.804,21.324,12.206,1969,725,415,795,4839.553,123620.404,19.39
RobertDowneyJr,334799272.0,6.737,2.9,3.273,539,87,72,23,343764.412,77000.825,1.211
tomhanks,334131655.0,7.328,1.5,2.8,894,12,42,5,66141.153,8637.435,1.667
BobPickard,349261599.0,25.794,26.353,43.088,877,896,1465,455,476.471,8621.971,13.382
Saurabhsays_,344462372.0,12.961,18.44,31.941,661,922,1629,600,40.235,79191.686,11.765
XabiAlonso,297137151.0,4.561,1.815,1.75,447,118,35,33,17516.093,14846.722,2.062
paulpogba,180083859.0,10.908,1.455,3.87,709,32,89,27,198104.569,44774.0,1.8
ck8860,12670609.0,10.75,126.417,126.667,129,1517,1520,19,106.083,93606.667,3.167
IssaRae,325707226.0,3.26,1.564,1.579,238,61,30,21,72155.205,27489.654,1.312
SeenuMohapatra,-5067780.0,20.545,6.2,152.273,226,62,1675,201,354.909,21325.545,18.273
reba,338891075.0,22.565,4.459,14.067,2076,330,844,76,17284.837,3199.207,2.054
mikeflannagan,360468541.0,9.757,7.532,4.305,722,467,254,47,17.525,936.513,1.679
Persie_Official,286597320.0,7.435,2.864,2.242,684,169,74,117,35218.481,9555.868,3.162
NPR,402778185.0,693.75,85.25,33.5,2775,341,134,17,345217.0,94275.0,4.25
gjmarx,338450586.0,5.667,12.191,4.5,17,829,9,52,0.362,60094.304,2.889
SteveMartinToGo,368850365.0,21.609,2.2,2.8,497,33,42,255,196251.478,17635.652,12.143
BryanCranston,325228042.0,5.702,1.643,2.643,690,23,74,52,21563.23,6188.262,1.733
Ibra_official,253631726.0,7.566,2.103,3.0,575,61,51,31,227232.908,47364.145,1.632
lderevnina,188260665.0,2.19,6.558,1.722,46,505,62,34,4.037,1320.85,1.259
surajdidwania,305007904.0,4.485,4.215,2.073,296,274,85,29,4.012,11359.333,1.381
icann_president,213410854.0,8.413,4.824,2.556,631,246,46,7,60.795,148.885,1.4
sbhalla6,341473906.0,6.618,2.915,2.725,225,137,139,14,1.598,33490.963,2.333
JordiAlba,193274353.0,7.814,1.87,5.429,461,43,38,1,6955.532,4013.258,1.0
OriolVinyalsML,134964008.0,3.9,1.583,6.895,234,57,393,90,962.857,588.968,1.875
allenthehun,216868664.0,3.812,119.1,34.45,61,2382,689,60,29.0,61773.45,3.529
kcpatelbjpguj,240863548.0,6.143,6.776,6.231,344,332,81,63,439.58,15926.159,6.3
RishabhPant17,117026839.0,7.491,4.75,5.208,397,247,125,87,118433.643,9876.607,3.48
vishalrajfilms,67250605.0,134.5,630.0,5.0,269,1890,10,206,298.0,101488.0,68.667
governorswaraj,54197850.0,124.667,38.0,209.333,374,152,628,183,60985.5,7514.75,61.0
SGanguly99,172763993.0,8.299,4.128,3.727,556,161,164,32,123763.103,11672.015,1.882
jimsinai,343692907.0,8.719,4.426,6.292,1055,478,604,17,6.644,203.924,1.062
AdityaDharFilms,321517785.0,5.143,27.706,10.75,108,471,172,100,1561.042,3805.125,6.667
smarket,361570009.0,455.5,23.333,62.667,2733,140,376,422,11377.167,11227.0,70.333
Zakirism,262073592.0,13.0,8.5,3.476,286,187,73,188,31078.391,5122.304,8.545
dannyjeffers,280952823.0,4.61,5.176,11.655,189,88,338,11,49.864,4665.364,1.571
iamjohnoliver,272032486.0,4.989,2.22,1.0,464,91,3,8,19179.333,6736.146,1.0
ItamarCareca,204777927.0,282.0,476.25,29.75,1128,1905,119,94,69.5,359370.25,23.5
DrSailajaK,214947380.0,5.051,5.797,2.2,298,400,99,63,11.307,7594.347,2.172
pushpanarayan,333893917.0,15.485,6.64,3.237,1022,332,123,108,49.721,5904.074,3.724
menongautham,255502642.0,7.141,1.429,2.556,657,10,69,27,21112.283,3609.978,2.25
Bnassir,334651056.0,9.343,7.382,2.581,626,406,111,185,84.239,2926.127,3.854
jeffhiro,333611293.0,8.527,0.0,9.908,955,0,1080,2,62.992,14.744,1.0
uditprakash,339677316.0,9.65,24.889,2.333,386,448,35,92,83.078,2758.078,10.222
Jaspritbumrah93,86427013.0,10.244,2.788,3.833,461,92,69,35,251404.556,13963.022,2.692
SushilModi,275121870.0,234.0,15.7,74.3,2340,157,743,4,176315.4,44207.8,1.333
el_mago_oficial,278459610.0,6.452,3.25,5.109,471,104,235,95,10867.875,4711.325,2.639
GEJonathan,131464867.0,12.667,4.857,6.862,608,136,199,10,21175.347,6215.673,5.0
jaketapper,370852592.0,221.333,745.333,115.667,664,2236,347,603,377347.0,530311.667,201.0
RadiNabulsi,341818644.0,186.0,420.6,42.0,930,2103,210,922,11493.6,28600.2,184.4
robmeadows,344755763.0,6.507,3.387,2.556,462,105,69,7,4.085,5.878,1.167
sakshijain23_,94483562.0,3.3,39.371,11.143,66,1378,390,390,15.189,12004.216,15.0
lisa_singh71,104751250.0,5.0,19.4,2.806,200,776,87,176,14.023,19679.114,4.632
_Pedro17_,259739616.0,6.168,2.339,1.684,660,145,32,8,16158.636,6125.458,1.143
sahartwitt,334520840.0,20.048,69.259,39.0,421,1870,819,531,104.778,74959.741,21.24
landondonovan,323327455.0,2.746,5.54,2.385,173,277,31,108,2099.733,1609.198,2.512
NotAltWorld,149008914.0,77.75,41.25,6.4,311,165,32,94,495236.4,362798.4,23.5
atul_deshkar,74801043.0,16.108,4.192,5.143,596,109,36,17,160.0,9000.351,5.667
duttsanjay,304928871.0,7.836,2.588,14.105,478,44,268,74,41978.758,2957.952,4.353
HarleenParmar,241783152.0,6.729,15.846,8.88,572,1236,666,214,332.314,18788.035,3.69
TrentAA,186369828.0,6.225,1.8,2.714,442,54,19,113,175715.365,16528.865,4.346
rohinthampi,332164803.0,3.878,4.087,5.511,159,376,259,20,0.567,50592.34,1.176
AwkwardMuslim,224647878.0,7.569,1.758,2.071,492,58,29,12,4368.328,12807.0,1.5
Dir_Lokesh,27980996.0,12.739,4.952,5.364,293,104,118,166,303968.391,174679.13,7.217
ylogx,306706599.0,6.42,2.776,2.706,565,136,92,22,8.346,5080.462,1.467
EvelynRusli,363687840.0,9.293,2.778,30.716,697,50,2488,76,250.452,236.714,1.81
gokul_rgk_05,187519090.0,1.364,70.939,12.105,15,2341,230,190,15.515,305085.121,10.0
CEFreitagMD,308259484.0,2.733,4.387,3.614,82,272,206,22,22.181,7342.861,1.692
iamhariomsrk,125618389.0,7.429,14.05,7.611,104,281,137,62,11.136,30751.818,4.769
sranjitETIG,137160998.0,60.49,2.966,2.0,3085,86,26,551,9.827,3614.635,14.128
EP_President,95935818.0,29.88,1.611,4.095,747,29,86,42,5738.865,3011.514,2.333
Honorglobal,127396752.0,38.353,1.6,152.353,652,8,2590,37,2591.706,243.941,5.286
rlyadavofficial,133826808.0,3.727,151.5,1.5,41,3030,3,198,4.45,146564.85,11.647
nastass2,313674989.0,11.438,5.243,26.066,835,388,1981,182,11.094,33127.294,3.64
rsg,404754873.0,51.571,64.857,347.857,361,454,2435,239,9597.857,55111.571,34.143
JackWilshere,235572023.0,13.711,4.414,4.296,1234,309,116,88,33307.755,13299.798,3.52
AnnCoulter,294314109.0,159.5,374.333,1.0,957,2246,2,961,116174.0,508531.0,160.167
JesseLingard,110988072.0,10.491,2.161,1.913,577,67,44,68,170537.982,27957.109,2.345
DAVID_LYNCH,360465492.0,7.233,1.259,1.8,839,34,27,5,4140.509,9613.31,1.0
AdamSandler,271991810.0,6.169,6.789,1.4,475,258,14,10,72953.577,10053.051,1.429
Syamant,377267581.0,38.435,54.96,38.8,884,1374,970,272,43.4,80980.92,10.88
TheCriclife,165509159.0,234.167,28.154,2.833,2810,366,17,70,155.267,3672.067,11.667
dustinvtran,208004572.0,9.074,6.899,15.514,617,476,1086,130,427.641,757.936,2.955
BeingKohlicious,299420398.0,498.0,167.0,399.333,1494,501,1198,495,754.333,125131.0,165.0
manitpradeep007,55461960.0,5.828,6.421,19.636,169,122,648,73,16.848,9962.333,5.214
GloriaSteinem,334690234.0,6.564,2.167,2.889,663,104,78,93,2026.594,746.528,2.067
AydenLincoln,72393306.0,102.0,53.462,92.846,1326,695,1207,151,664.231,1036197.0,11.615
youngy18,202787230.0,7.733,1.804,2.8,665,101,140,77,46538.756,12635.826,1.925
Chanakya_7,159276189.0,12.14,2.853,5.04,522,97,126,7,4.906,23937.703,1.167
itsmeleighton,339580354.0,8.892,3.966,4.941,907,230,168,5,2241.115,1538.615,1.0
RahulMaganti,269019169.0,3.559,14.209,2.0,121,611,36,58,1.517,14189.793,2.522
jephoi23,318055674.0,5.0,246.545,27.6,50,2712,276,274,501.417,28105.417,27.4
tmyerson,399473350.0,5.271,3.776,1.75,253,219,35,89,394.914,3774.543,2.967
ADFFilms,209046586.0,9.865,55.676,11.545,365,1893,127,129,2072.561,11885.439,6.143
reecha_sinha,314033387.0,8.216,6.133,1.667,419,92,10,5,26.057,56.868,1.667
TrentWoodhill,295717572.0,21.044,18.413,30.638,947,847,1440,276,1105.468,16935.979,6.732
Woslove,227121522.0,3.071,8.417,1.889,129,505,17,3,3.167,918.47,1.0
younessb5,267199581.0,4.094,4.979,1.786,262,234,25,49,4.311,11402.392,2.45
tanuja_kothiyal,146252230.0,28.5,104.5,94.857,399,1463,1328,432,354.5,149940.643,33.231
Retweetologist,176668130.0,54.029,6.917,3.778,1837,249,34,156,39.628,306.256,13.0
vinijr,188377690.0,15.645,3.739,3.385,485,86,88,61,484562.656,49895.156,3.05
delpotrojuan,307149463.0,7.089,1.2,1.364,879,24,45,40,36383.072,8123.384,1.481
sourish_m,215444041.0,2.9,15.541,6.395,116,575,243,168,29.326,79205.349,4.308
Sarikaasharma,332687181.0,5.596,3.923,2.0,526,255,94,51,5.972,4149.685,2.04
CRJCrawfordNZ,115422007.0,24.077,17.556,6.333,626,316,133,71,12.231,698.5,4.733
VirgilvDijk,260793455.0,8.127,1.842,3.567,447,35,107,47,282261.65,23575.967,1.679
kathanmunshi,306523520.0,14.2,5.657,9.6,213,198,240,100,30.395,10465.421,5.556
sanjaysinghjdu,167770337.0,45.302,16.833,6.273,1948,202,69,467,761.318,634.705,18.68
newsflicks,192530688.0,399.875,1.0,0.0,3199,1,0,0,3453.625,2874.375,0.0
beatsbydre,371541990.0,19.412,3.579,21.812,330,68,349,64,6926.25,15504.75,4.923
TracyMorgan,325040794.0,8.167,2.725,2.385,784,109,31,10,2522.216,977.134,1.111
dogecoin,193506206.0,5.507,5.481,2.939,380,296,97,50,1190.429,852.714,1.786
LazyHippogriff,312400093.0,3.912,10.387,6.75,133,322,216,47,5.897,29149.564,3.917
Malala,227510708.0,6.488,3.683,6.382,279,151,217,100,192800.977,34257.535,3.226
Inc42,240552089.0,291.0,305.2,48.0,1455,1526,240,255,1118.6,1389.4,51.0
abdur,383514554.0,13.556,5.803,21.012,1098,412,1681,448,98.494,45116.802,6.137
JesseLakes,322354741.0,2.227,3.512,4.125,147,288,264,73,7.856,10.753,1.825
sussannekroshan,313744701.0,14.0,2.741,7.227,588,74,159,4,985.8,657.378,2.0
_OlivierGiroud_,239190332.0,7.177,2.594,3.529,689,83,60,13,18518.878,6727.184,1.0
fbrandtips,135055475.0,12.655,2.625,3.8,734,42,133,40,52.712,88.831,1.905
IoTNext,135183484.0,34.067,48.25,4.7,1022,965,47,232,70.219,161.875,12.889
shibangiSR,113538659.0,11.086,12.562,2.8,388,402,56,293,60.125,8996.45,9.767
Alexis_Sanchez,205579086.0,8.587,1.842,1.333,644,70,16,3,30538.526,16108.421,1.0
maanayata_dutt,316193585.0,8.781,3.0,14.481,281,36,391,2,192.538,41.462,1.0
andrewrsorkin,339712672.0,28.718,22.282,32.256,1120,869,1258,469,20261.154,15045.769,12.026
y_umesh,271267296.0,6.162,1.6,2.452,647,72,76,41,16653.404,875.661,4.1
itznehamalik,215161051.0,3.229,12.98,2.762,113,662,58,36,2.81,3945.414,2.4
AvtarFateh,49333265.0,37.344,3.227,3.429,1195,71,96,8,183.781,127.375,1.6
JheneAiko,345001334.0,8.902,2.222,3.0,365,120,33,42,229556.656,67719.047,1.826
RiversCuomo,372392889.0,19.679,1.0,1.25,551,2,5,0,1128.355,1219.226,0.0
ProFootballTalk,356415754.0,724.5,9.25,78.75,2898,37,315,114,106074.5,17806.75,28.5
pschiller,354427271.0,4.776,1.556,3.0,554,56,240,9,2001.772,2700.049,1.125
FabienForest,57734463.0,1.765,19.143,5.185,30,670,140,75,10.543,32052.657,3.125
ManushiChhillar,219438117.0,9.973,13.037,3.0,369,352,84,68,26200.523,3864.205,4.0
adamdangelo,384229381.0,2.566,2.714,4.069,254,247,354,45,161.295,3547.78,1.452
Phil_Coutinho,338244606.0,7.414,1.7,18.294,519,17,311,0,6465.264,3361.847,0.0
MrAncelotti,255333150.0,4.802,2.167,1.333,509,39,8,24,20788.915,6393.075,1.143
AwkashGarg,266317017.0,7.2,5.4,2.458,288,270,59,30,3.237,4593.559,1.765
ibogost,398115017.0,66.571,10.625,214.25,466,85,857,81,3792.9,3023.5,20.25
cheteshwar1,272956461.0,6.802,2.22,8.0,653,91,216,114,30212.646,1342.02,4.071
tweetsauce,260774834.0,20.78,18.1,15.082,1226,1086,920,234,116629.984,43464.607,4.179
ACAjaccio,302088297.0,128.105,34.211,8.579,2434,650,163,134,2743.632,1045.105,7.053
The_NewArab,185636082.0,1624.5,0.0,1.0,3249,0,1,0,4826.0,2756.5,0.0
Mayawati,41177523.0,22.8,0.0,12.292,570,0,295,0,220113.28,33534.44,0.0
NeilNMukesh,328122196.0,27.792,30.867,9.283,1334,1389,427,833,11466.667,6439.979,17.723
raenashirali,148611855.0,8.072,12.559,6.853,557,854,466,288,97.652,141960.391,4.364
brbrasseur,168994842.0,5.101,5.688,4.442,352,91,191,7,563.693,483.507,1.4
IamPathikritB,305282445.0,7.171,50.089,6.556,294,2254,177,188,34.106,888501.383,9.895
VinceMcMahon,218094831.0,5.604,1.8,1.0,510,99,1,49,38950.84,9252.819,1.633
ChinaRealTime,354906389.0,48.262,13.909,0.0,2944,306,0,38,621.048,814.113,4.75
UdailalAnjana,97420424.0,20.718,24.436,5.516,808,953,171,75,2242.775,130451.525,3.947
Sah75official,304650908.0,5.424,1.8,3.136,537,27,69,2,6996.627,424.049,1.0
Fattiemama,317621055.0,14.485,6.324,30.534,985,468,1771,147,8.222,6358.16,4.2
EleonoreMayola,249825298.0,39.462,136.692,68.769,513,1777,894,725,314.692,722937.923,55.769
jetsetter,418229867.0,42.675,11.611,25.341,1707,418,1115,79,23.133,19681.0,3.292
Karthi_Offl,116019521.0,9.158,2.476,8.6,522,104,172,44,66846.298,11211.86,1.692
orianabandiera,207711043.0,6.98,4.481,1.696,349,233,39,253,269.855,2545.891,5.271
SamNasri19,286672946.0,5.688,1.966,2.029,455,57,71,2,4012.798,4334.787,1.0
mayankistwittin,306406843.0,2.935,7.263,2.778,91,581,100,48,1.049,11048.247,2.0
MickJagger,285829568.0,5.845,3.778,2.429,643,170,17,0,26643.279,6999.838,0.0
waqyounis99,129431451.0,11.105,4.243,5.28,633,157,132,79,30903.14,3821.842,2.394
Fellaini,258806673.0,4.756,4.115,2.353,409,214,40,7,16135.552,7560.253,1.0
dpasker,289238482.0,14.769,7.48,7.2,1344,374,432,46,8.283,7141.747,2.3
sreewastav,404895730.0,11.441,5.4,10.356,389,81,466,33,6.275,391.608,4.714
ysjagan,159291185.0,8.889,1.714,3.792,640,12,91,7,55814.264,8985.208,1.75
Alexortiz1987,261122028.0,6.597,14.338,28.646,409,932,1862,155,471.188,945.928,3.298
sooriofficial,139332582.0,8.095,2.756,5.793,510,113,168,141,41032.841,4751.778,3.615
qamrookha7,106685783.0,18.587,1.5,8.946,855,15,331,2,4.043,1.681,1.0
PtRajanSharma,193823813.0,13.45,2.278,7.409,807,41,326,22,7.323,1286.194,1.833
theowalcott,192449411.0,7.888,2.381,1.765,631,100,30,14,22058.537,9255.225,1.273
theage,340072297.0,1356.0,259.5,9.5,2712,519,19,2,22694.5,11267.0,1.0
VijaySethuOffl,52247353.0,20.182,12.483,1.8,666,362,18,46,149611.515,28517.636,3.833
YashwantSinha,86948979.0,13.103,2.0,3.857,511,10,54,3,53565.41,13600.128,1.5
binnybansal,388467638.0,3.383,7.123,3.522,203,520,81,120,106.456,955.978,6.667
SiddharthDeswal,240920397.0,9.54,5.013,4.611,830,401,415,31,5.835,8701.041,1.409
SatoshiLite,372290172.0,9.611,34.583,46.057,346,1245,1612,287,9612.75,79521.167,8.2
puigortoneda,176102042.0,8.338,4.174,3.282,567,288,128,243,2278.051,1763.474,6.75
PaulBarba_,113799681.0,11.091,7.167,1.375,488,344,11,7,20.094,46.566,1.167
heather_desorbo,76589126.0,12.571,59.522,72.318,264,1369,1591,198,164.565,2865.043,9.9
ghoseb,405261962.0,2.091,214.071,7.692,23,2997,100,442,42.786,609546.071,31.571
DennyTapia,265199939.0,91.0,0.0,7.333,1365,0,22,0,0.667,1.733,0.0
shaicohen1,335002300.0,23.187,4.25,1.348,2110,153,31,0,22.495,28.505,0.0
farmerrf,342814012.0,30.525,22.4,28.872,1221,896,1126,1119,346.225,10224.575,27.975
krunalpandya24,312022831.0,9.2,1.842,3.412,506,35,58,85,60514.304,2357.232,3.269
lewy_official,188306927.0,5.2,3.193,1.481,364,182,40,23,43974.853,8792.227,1.353
deeptrivedivyas,146606541.0,7.1,6.043,15.417,142,139,370,75,181.038,1211.923,4.412
rohitkbansal,334001357.0,3.118,6.764,3.683,159,487,151,66,57.933,325.348,3.667
M_Jikurashvili,183907690.0,1.8,21.143,3.6,45,1036,90,76,19.673,8500.481,2.375
mornemorkel65,298921486.0,3.885,3.489,2.086,404,307,73,44,930.566,2250.5,1.467
imkuldeep18,182686261.0,4.861,3.667,4.592,350,187,225,7,30036.568,2957.321,1.0
a_dc0h,99683512.0,2.0,3076.0,154.0,2,3076,154,44,3637.0,919291.0,44.0
letsencrypt,165035480.0,28.716,3.576,4.098,2125,211,168,115,2166.267,1324.533,2.949
TickTalkTo,104842577.0,8.891,4.097,6.9,409,127,138,28,16.837,14848.122,1.867
gregoriklosman,326089037.0,27.263,11.214,13.667,1554,628,984,215,224.822,16650.918,5.0
ashraysood,313516263.0,6.662,5.552,2.964,433,161,83,0,1.458,2536.361,0.0
haristweet,317734241.0,2.0,411.167,121.0,10,2467,726,271,67.0,481437.833,45.167
Wangchuk66,311499718.0,6.479,1.412,2.44,460,24,61,61,17124.944,4437.676,2.346
Himanshimatta,332783332.0,15.2,24.889,5.029,1064,1792,347,583,39.795,26322.918,7.986
Julian,275352494.0,4.375,1.333,78.8,70,4,788,0,12249.737,8597.579,0.0
